title,company,location,salary,description,job_url
Senior Broadacre Crop Farm Worker,MJ & AM Urquhart Pty Ltd,"Finley, Wagga Wagga & Riverina NSW","$75,000 – $85,000 per year","Senior Farm Worker – Broadacre Cropping | Regional NSW | Visa Sponsorship Available📍Location:Finley, NSW (Southern Riverina – Regional Australia)💼Job Type:Full-Time, Permanent💲Salary:$76,515 – $85,000 + Super✈️Visa Sponsorship:Available (Skilled Employer Sponsored Regional – Subclass 482)Join a Leading Family-Owned Cropping Enterprise in the Heart of Regional NSWAre you a skilled farm hand looking to take the next step in your agricultural career? We’re seeking aSenior Farm Workerto join our progressive cropping business inFinley, NSW.With 3,000 acres of high-performing wheat, canola, maize, and rice crops, we’re looking for someone experienced, motivated, and ready to take on a leadership role in a hands-on, broadacre environment.What We OfferCompetitive salary package:$76,515 – $85,000 + superVisa sponsorship (Subclass 482)available for qualified overseas applicantsOpportunity to work in a professional, well-equipped operationOn-farm accommodationandvehicle for work purposes(conditions apply)Long-term, stable employment in a family-run businessExposure to both summer and winter cropping programsKey ResponsibilitiesPlanting, spraying, irrigating, and harvesting broadacre cropsOperating and maintaining modern farm machinery (tractors, seeders, harvesters, sprayers)Monitoring crop health and addressing pest, disease, or nutrient issuesSupervising and mentoring junior staffSupporting irrigation planning and crop rotation strategiesRecord-keeping and assisting in crop reporting and yield trackingUpholding WHS and environmental compliance on-farmWhat You’ll Bring3–5 yearsof broadacre cropping experience (essential)Strong machinery operation and maintenance skillsLeadership and team supervision capabilitiesGood understanding of irrigation systems and crop protectionAbility to identify and manage soil, crop, and weather variablesHigh level of physical fitness and willingness to work in the fieldStrong communication and problem-solving skillsA proactive and professional approach to farm workLicences & QualificationsAustralian Driver’s Licence (required)MC Licence (desirable)Chemical certification (desirable)Trade qualification in agriculture or similar (preferred)About UsWe are a family-owned enterprise based inFinley, NSW, with a strong reputation for producing high-yield, high-quality crops. With a focus on innovation, sustainability, and efficiency, we provide a supportive workplace for skilled professionals who want to grow with us.Ready to Apply?Please submit yourresumeand acover letteroutlining your experience to:📧Murray Urquhart –muzzange@gmail.comNote: This position is located in aregional areaand meets eligibility forSkilled Employer Sponsored Regional visa (Subclass 482). We welcome applications from international candidates who meet visa requirements and are committed to working and living in rural Australia.",https://www.seek.com.au/job/86262663?type=standard&ref=search-standalone#sol=c6fd4052c01ec17bab00bafd303e7ef3c6e25b24
Sous Chef,Hurley Hotel Group,"Mannum, Riverland & Murray Mallee SA","$80,000-$85,000 per year plus 12% superannuation","Pretoria Hotelwww.pretoriahotel.com.auHurley Hotel Groupwww.hurleyhotelgroup.com.auSous Chef, Full Time, salaried position$80,000-$85,000 per annum starting salary, negotiable based on experienceTemporary Skill Shortage 482 VISA Sponsorship available for suitable candidatesAnnual wage reviewVaried cooking styles, high quality food productWell established businessExcellent reputation for service and employmentWork with an experienced teamAbout the position:As Sous Chef at the Pretoria you will assist the Head chef with a range of responsibilities including leading and developing our experienced team, proposing menu ideas and daily specials for the Hotel, provide functions and events catering, order stock from a flexible range of nominated suppliers, provide meal service to our customers and contribute to the overall for the success of the food service operation.You will work with a dedicated team of Hospitality professionals to bring your food to our loyal customers not only by working with our excellent management and front of house service team but also through photography, digital marketing and advertising.Who are we looking for?The things that are most important to us are delicious food, great cooking skill and an understanding of the various food interests of our current and potential customers. Equally important is the right personality characteristics and communication style to assist us by leading our team well.The successful candidate will:have completed an apprenticeship and hold a Trade Qualification as a Chefhave previous experience in a busy a la carte hotel bistro, café or restaurant environmentbe a good leader, communicator and a patient trainerbe well organised and prepared in their approach to food servicehave some experience at ordering for varying customer volumeshave a strong knowledge of food safety requirementshave the ability to work calmly under pressureAbout the Company:The Pretoria Hotel enjoys an enviable location on the banks of the River Murray in Mannum with uninterrupted views of the river from the main Bar & Bistro and the lawns between.  Including a 250 seat Bistro and balcony, private function room, licensed lawn area on the riverbanks, Sip n Save bottleshop with underground wine cellar, TAB and Gaming facilities plus regular entertainment.In addition we have an outstanding reputation for meal quality and consistency, enjoying the support of locals and catering to the greater Adelaide area as a tourist destination for dining, celebrating and social occasions. We put together a strong calendar of events and dinners so there's always another occasion to enjoy, just around the corner.If this sounds like something you would like to be part of then get in touch and if we think you're a good fit we'll do the same.",https://www.seek.com.au/job/86347070?type=standard&ref=search-standalone#sol=df9ec61f64cfe8fa746869a649c54c3bcb7ed113
Registered Nurse | Sponsorship Opportunities Available in Multiple Locations,Roshana Care Group,Sydney NSW,$38 - $48,"Welcome to Roshana Care GroupBurswood Care Pty Ltd is a privately owned provider of Aged Care, Home care, Mental Health Care and Disability Support Services. Our head office is based in WA, and we own and operate facilities in WA, QLD, VIC and NSW. Established in 2001, Burswood Care Pty Ltd has been at the forefront of providing Aged Care and Mental Health Care for over 20 years, with a commitment to high standards.About the RoleWe have Multiple Vacancies in our facilities in WA, VIC, NSW and QLD.Working closely with residents, their families and the multidisciplinary team, the Registered Nurse leads the assessment of the strengths and needs of individual residents and the development of individualized, person-centered support that promotes physical and emotional wellbeing.This position provides direct clinical care in accordance with their scope of practice and oversees the delivery of clinical and allied health services for residents, including guidance to clinical and care staff. The RN coordinates and has leadership responsibilities for all resident care and works closely with the Clinical Manager in the identification of evidence based best practice and quality initiatives across the facility.Salary: Registered Nurse: $38 - $48 per hour + Superannuation.Sponsorship is available for the right candidate!Duties and Responsibilities:Provides leadership to other staff , ensuring care needs of the resident are met in accordance with clinical needs and the residents’ care plans.In conjunction with the Facility Manager and Clinical Manager, ensures all assessments are completed for each resident during the admission process, then as required as residents’ care needs change.Develops care plans for each resident, utilising information from assessments and in liaison with resident, family, GP, allied health professional, and other staff.Informs relevant managers of any exceptional events, including changes in resident status, in a timely manner.Models’ enablement of residents whilst attending to resident needs and providing direction and assistance to other staff members in performing their duties.Actively builds trusting relationships with individual residents that are based on dignity and respect to optimise cooperation, communicating in a manner that is appropriate to each individual’s strengths and limitations.Implements and oversees, safe working practices to comply with Work Health and Safety, Food Safety and other relevant legislation and policy, including reporting and investigation of identified hazards and incidents.Required Skills, Attributes and ExperienceTertiary qualifications in Nursing andcurrent registration with AHPRAas a Registered Nurse/Enrolled Nurse.(Graduates are encouraged to apply)Proven high level of clinical competencies with excellent clinical analysis, interpretation, and planning skills.Able to lead and influence others.Relates to the aged care population with empathy, understanding and respect.Sound understanding of care assessment and provision within the Aged and Health Care sectors.Ability to work flexibly within a multidisciplinary team environment.Culture and Benefits:A competitive industry salary package commensurate with skills and experience.Initially: accommodation available for successful applicant. (Only include when applicable)Long term career development opportunities.On the job training and development opportunities available.Access to Roshana Care Group Employee Assistance Program.Roshana Care Group respects and embraces diverse perspective, experience, and traditions.Roshana care Group values each employee’s contribution towards achieving its business objectives.Our culture of compassion, respect, communication, teamwork and integrity not only supports the development of staff, but also ensures the wellbeing of all employeesPlease note: Only shortlisted applicants for the role will be contacted.How To Apply?You can submit your application by clicking on ‘Apply’ (Please attach an updated resume and a cover letter).Please note, due to the high volume of applications, only successful applicants will be contacted.Want to know more about Roshana Care Group? Head to our website https://www.roshana.com.au",https://www.seek.com.au/job/86210008?type=standard&ref=search-standalone#sol=bd2840e84d622e9d860318e2975dd3e09aca2069
Chefs and Cooks,LocalsCo,"Bunbury, Bunbury & South West WA",N/A,"The Rose Hotel - Hiring Kitchen Staff now!We are seeking highly skilled people to join our kitchen team:Highly regarded iconic Bunbury venue with high volume pub menu.Seeking casual and full time staff; days, nights and weekends.Seeking Chefs and Cooks.Enjoy discounts on food & beverages across all LocalsCo venues.Immediate start availableChance to work across our other venues in the region; Treendale Farm Hotel and Eaton Tavern.The Rose Hotel has a balance between being a family friendly venue and the local pub that’s always been there. With spacious areas and plenty of separation between quiet corners, bars and an kids play area, the venue caters for the needs of every type of customer, no matter the reason for coming to the pub. Family dining is a critical part of our pub model and we need you to help continue to deliver this!About You:The ability to excel under pressure in a busy kitchenExperience in high-volume pubsStrong culinary skills with the ability to train othersAttention to detail with a proactive attitudePermanent visa holders and Australian residents welcome.Sponsorship available however, candidates must be able to legally work for 3 months minimum to prove skills and ability prior to this option becoming available.You'll report to the Head Chef and Executive Chef for the LocalsCo Group.Who are we?LocalsCo is an independent hospitality group who specialises in restoring heritage pubs and creating community hubs. While there is variation in the locations and offerings of our venues, what remains consistent is our desire to deliver quality, inclusive hospitality in comfortable, presentable and memorable spaces.We are the custodians of our pubs, investing in the building and the customers, ensuring they will thrive for years to come. As a group operator, we have the ability to support our pubs for the long term and offer a higher level of support to the community. We ensure continuous investment into the success of each pub’s community and staff – we take hospitality seriously and with us you can too.Pubs for generations.Only applicants currently living in Western Australia will be contacted.APPLY NOW!",https://www.seek.com.au/job/86339425?type=standard&ref=search-standalone#sol=bab431a7e29b4a9500803f4266456a423b4dfcda
Experienced Restaurant Manager + Super + Benefits,Ramona Trattoria,"Coorparoo, Brisbane QLD","$78,000 – $84,000 per year","About the role*Must have Restaurant Manager or Assistant Manager experience*Sponsorship is only available after 6 month probationary has been completed*CAN NOT OFFER SPONSORSHIP IF NOT  ALREADY IN THE COUNTRY*If you need to be sponsored to come into the country we do not offer thisRamona Trattoria' is seeking an experienced and passionate Restaurant Manager to join our award winning team in Coorparoo, Queensland. As our Restaurant Manager, you will be responsible for overseeing all aspects of our bustling restaurant operations, ensuring a seamless and exceptional dining experience for our customers. This is a full-time role offering a competitive salary, superannuation, and a range of other fantastic benefits.What you'll be doingManage and lead a team of restaurant staff, including servers, bartenders, and kitchen personnelOversee daily operations, including inventory management, staffing, and customer serviceImplement and enforce policies and procedures to maintain high standards of food quality, service, and cleanlinessLiaise with the kitchen team to ensure menu items are prepared to perfectionManage the restaurant's financial performance, including budgeting, cost control, and sales reportingFoster a positive and collaborative work environment, and provide mentorship and training to team membersIdentify and implement strategies to improve operational efficiency and customer satisfactionWhat we're looking forMinimum 3-5 years of experience as a Restaurant manager , Venue manager or Assistant manager roleStrong leadership and people management skills, with the ability to motivate and develop a teamExcellent customer service orientation and problem-solving abilitiesProficient in financial management, including budgeting, cost control, and sales analysisThorough understanding of food safety regulations and the ability to ensure complianceExceptional communication and interpersonal skillsPassion for the hospitality industry and a commitment to providing an exceptional dining experienceWine and Bar experience is a bonusWhat we offerAt Ramona Trattoria', we pride ourselves on our vibrant company culture and commitment to employee wellbeing. As our Restaurant Manager, you'll enjoy a competitive salary, superannuation, and a range of other fantastic benefits, including:Opportunities for career development and advancementFlexible working arrangements to support work-life balanceAccess to ongoing training and professional development programsComplimentary meals and discounts on our delicious menu itemsA fun, supportive, and inclusive work environmentSponsorship is available for the right candateAbout usRamona Trattoria' is a beloved 65 seater Italian restaurant in the heart of Coorparoo, Queensland, known for our authentic and delicious cuisineof hand shaped pasta and pizza , warm hospitality, and vibrant atmosphere. We are a family-owned business with a passion for sharing our love of Italian culture and cuisine with our local community. As we continue to grow and expand, we are looking for exceptional individuals to join our team and contribute to our success.Apply now to become our next Restaurant Manager and be a part of the Ramona Trattoria' family!",https://www.seek.com.au/job/86053911?type=standard&ref=search-standalone#sol=322c07383eb4b48d132c5de34480d35121d60179
SALES POSITION AVAILABLE FOR IMMEDIATE START! NO EXPERIENCE NEEDED!,Authentic Connections Marketing Pty Ltd,Sydney NSW,$35 – $40 per hour,"Join Our Vibrant Team Today! Fun and outgoing staff wanted for immediate start.Bonus on top of hourly wage.Who Are We?Authentic Connections Marketing is Australia's fastest growingface to facemarketing company. We are aleading companyin producing brand awareness on behalf of our clients and are known for investing in our people by ensuring career development through full training, support and encouragement.What We Offer•Fun-Filled Work Environment:Enjoy sociable hours with family work culture, includingteam activitiesweekly• Generous hourly rate +UNCAPPED BONUS•Extensivetrainingand support•Career Growth:Unlock your potential with comprehensive training and a clear path to leadership roles•Travelopportunities that broaden your horizons both personally and professionally.• Full TimeMonday - Friday 9am to 5:30pm• Sponsorshipavailable for the right candidate!What do we look for?We are currently looking formotivatedpeople interested in customer service to join our young energetic face to face marketing team here in Sydney!Being adaptable and have adesire to learnand grow is a must and if you are a person that is goal-orientated and driven to succeed, you have a place in our team.Please apply if you are aconfident, individual with apositive ""can-do"" attitude!No Experience Necessary! APPLY NOW!! - ONLY A FEW POSITIONS LEFT!!!To apply you must be 18+ and have full working rights. Backpackers are welcome!",https://www.seek.com.au/job/86283378?type=standard&ref=search-standalone#sol=921ae68d8061bffca736d867f4b0f7badb3da16a
Assistant Accountant - CA/CPA sponsorship available,Perigon Group Pty Limited,Sydney NSW(Hybrid),$80-85K + super + CA/CPA support,"The OpportunityPLEASE ONLY APPLY IF YOU ARE AN AUSSIE CITIZEN OR AUSSIE PERMANENT RESIDENTOur client is a large ASX listed group, seeking a switched on Junior Accountant for a newly created role. The business has continued to do remarkably well and are in a strong position to warrant added headcount. The role sits within a large and established finance team, and offers great hands-on development for the successful candidate, with a clear pathway to progress.CA/CPA sponsorship on offer for one lucky candidate!The roleA broad mix of month end, transactional accounting, and reconciliationsPreparation of month end accountsAssisting accounts payables and accounts receivablesMaintenance of P&L and the balance sheetReconciliation of general ledger and subledger accountsDaily cashflow management and forecastingOwnership of rebates, trade spend, supplier recoveries ensuring all transactions recorded in line with commercial agreementsAssist with the development, maintenance and compliance with internal control processesAdhoc support with budgeting, analysis and other requirements of the finance functionAbout youCirca 2 years experience in an Accounts Clerk or Assistant Accountant roleIntention to complete CA/CPA, if not already startedAussie Citizen or PR - you will not be contacted if you don't have the correct works rights, sorry.",https://www.seek.com.au/job/85700799?type=standard&ref=search-standalone#sol=a961203db5aa4869ce97725fb55d89a621d3f51f
"Senior Dog Groomer – $80,000–$90,000 + Sponsorship Available",PawsAbout Pty Ltd,"Rose Bay, Sydney NSW","$80,000 – $90,000 per year","oin our passionate and growing team at PawsAbout!We’re on the lookout for a talented, experiencedSenior Dog Groomerwho truly cares about animal welfare and takes pride in delivering high-quality grooming services.🐶 What We’re Looking For:Minimum3 years of hands-on dog grooming experienceSkilled in breed-specific clips and confident with a wide range of coat typesGentle, patient, and animal-loving attitudeAble to work independently and as part of a collaborative, supportive teamStrong communication and customer service skills💼 What We Offer:Salary: $80,000–$90,000 per year, depending on experienceSponsorship availablefor the right candidate (must meet visa requirements)Full-time role,Monday to Friday only– enjoy your weekends off!Fun, inclusive team cultureBeautiful locations inSydney’s Eastern Suburbs(Coogee & Rose Bay)Supportive management that values your growth, work-life balance, and wellbeing✉️ How to Apply:Please send yourresume and photos of your grooming workto:📧info@pawsabout.com.au",https://www.seek.com.au/job/86281151?type=standard&ref=search-standalone#sol=cc3b0fbe5908b45aa2c220cbff528d95e50c5fca
Motor Mechanic,Toylex R Us,"Derrimut, Melbourne VIC","$70,000 – $80,000 per year","About UsToylex R Us is a leading car wrecking yard and automotive service provider specializing in Toyota and Lexus models. We pride ourselves on delivering exceptional parts and repair services, including mechanical repairs, body repairs, and hybrid system servicing.We are seeking a skilled and experiencedMotor Mechanicto join our dynamic team. This full-time role is based in Derrimut, Melbourne, and offers competitive remuneration and opportunities for growth.Toylex R Us is also approved for Visa Sponsorships and we are offering opportunities to suit.Key ResponsibilitiesDiagnose and repair mechanical issues in vehicles.Replace and maintain engines, transmissions, and hybrid components.Perform general servicing, safety checks, and fault diagnostics.Work collaboratively with the workshop team to ensure timely and high-quality repairs.Maintain a safe and clean working environment.Skills and ExperienceCertificate III in Automotive Mechanical Technology or equivalent.Minimum of 2 years of experience in a similar role.Strong diagnostic skills, particularly with Toyota and Lexus vehicles (advantageous).Ability to work efficiently in a fast-paced, team-oriented environment.A valid driver’s license.What We OfferOpportunities for professional growth.Work with a team of experts specializing in Toyota and Lexus models.Be part of a well-established company offering diverse and challenging work.Visa sponsorship opportunities are available.",https://www.seek.com.au/job/85934555?type=standard&ref=search-standalone#sol=8e1315650224e48e856f98f5ff601cb3c4fabfac
Air-conditioning & Refrigeration Mechanic,You Solved,"Newcastle, Newcastle, Maitland & Hunter NSW","$90,000 – $110,000 per year","Our clients are actively seeking talent from all over the world and are willing to pay very competitive hourly rates to attract the best candidates.You Solved partners with trusted companies across regional Australia to place top-tier international and domestic talent in long-term skilled trade roles. We are actively seekingqualified Air-conditioning & Refrigeration Mechanicsto fill multiple roles with our clients—reputable, well-established employers operating in sectors includingdomestic, government, defence, and large-scale retail.Our clients are known for offeringmodern and well-equipped facilities, long-term job stability, and exceptional work environments. To attract the best candidates, they are offeringcompetitive hourly rates,visa sponsorship, andrelocation support.Why Join Through You Solved?You Solved is an international recruitment and migration agency that specialises in employer-sponsored visa placements. If you’re seeking a new life and career in Australia, we’ll match your skills with an ideal employer and provide expert migration support along the way.Our clients offer:Sponsorship on the Subclass 482 visa, with a clear pathway to permanent residencyRelocation and housing assistanceFuture support with family relocation and visasExcellent working conditions and long-term career opportunitiesDiverse projectsacross commercial, industrial, and government sitesThe RoleAs an Air-conditioning and Refrigeration Mechanic, you’ll work on the installation, service, and maintenance of systems in a range of settings. You may be placed with clients servicing supermarkets, mining sites, defence bases, large retail chains, or public facilities.Key Duties Include:Install, maintain, and repair air-conditioning and refrigeration systemsDiagnose faults and complete repairs efficientlyInterpret technical drawings and documentationDeliver high-quality customer service and maintain strong client relationshipsComply with workplace health and safety policiesMentor apprentices, where applicableKey Requirements:Trade qualification in Air-conditioning and RefrigerationProven experience across residential, commercial, or industrial HVAC systemsStrong fault-finding and repair skillsCommitment to safe, high-quality work practicesWillingness to relocate to regional AustraliaAbility to pass drug and alcohol testingA positive outcome on a skills assessment issued by Trades Recognition Australia (TRA) is highly desirable, but not essential. Please indicate on your application if you have this or are in the process.This position offers a high salary with excellent long term career opportunities. Only the most suitable candidates will be contacted. This is not an entry level or junior position.",https://www.seek.com.au/job/85759760?type=standard&ref=search-standalone#sol=15732e0875f141d116779cb41aa511b7e494fbd2
Farm Hands x 2,Agribusiness Recruitment Pty Ltd,"Bordertown, Mt Gambier & Limestone Coast SA","$75,000 – $90,000 per year","Job Location:Bordertown, South AustraliaRemuneration:$75,000 – $90,000 + super, dependent on experienceHours:50–60 per week during seasonal peaks (including some weekends)Employment Type:Full-time, permanentTop Field Farming Pty Ltd is seeking two experienced and dedicated Farm Hands to join our progressive farming business located near Bordertown in South Australia's Upper South East.This is a hands-on, full-time role working across broadacre cropping, potato production, and pivot irrigation, with occasional livestock support. You will operate a range of modern farm machinery and assist with general property maintenance. Experience in planting, spraying, harvesting, and irrigation operations is essential. Livestock experience is an advantage.Key Duties Include:Tractor, planter, sprayer, and harvester operationPivot irrigation monitoring and maintenanceEquipment maintenance and mechanical troubleshootingChemical handling and recordkeeping (ChemCert preferred)General farm repairs and seasonal labourBasic animal husbandry (where applicable)To Be Considered, You Will Have:Minimum 3 years’ experience in cropping or similar farm workSkills in irrigation, machinery operation, and farm maintenanceCurrent driver's licence (HR or HC an advantage)Ability to work 6 days/week during peak seasonsA practical, safety-focused, and reliable work ethicVisa Sponsorship:Available for suitable overseas candidates under Subclass 482, 494, or DAMA arrangementsANZSCO Code:121111 – Mixed Crop and Livestock Farm WorkerHow to Apply:To express your interest, please email your CV and a brief cover letter to:apply@agrecruit.com.auquoting J3604",https://www.seek.com.au/job/85848281?type=standard&ref=search-standalone#sol=3e315c48e9728c83b1ad5d56d07e05d69ae15d3a
COMMIS CHEF/CHEF DE PARTIE - BURNT ORANGE MOSMAN,Burnt Orange,"Mosman, Sydney NSW","$65,000 – $80,000 per year","Looking for an ambitious young chef to join our team. If you want to learn from the best and be encouraged to think creatively, contribute to menu development and propose new dishes then Burnt Orange is the family for you. Must have at least 2 years kitchen experience and be able to run a section.Burnt Orange is housed in a beautiful sandstone mansion overlooking Sydney Harbour, serving breakfast, lunch and high tea. This is a well-run kitchen with low stress and a highly reputable organisation. Minimal night time work and great work/life balance - you'll be working with an amazing and enthusiastic team lead by a talented Head Chef in an iconic Sydney venue - don't miss this opportunity! Check out our website www.burntorange.com.auThe successful applicants will,- Have trade qualifications with varied experience with a la carte service and busy restaurants- Be creative and passionate about food- Be able to work under pressure whilst still consistently producing excellent food- Be reliable, have a positive attitude and be a team player!We will offer- Opportunity to work with an amazing Head Chef- A stable position with a chance to move up quickly- Professional team oriented work environment-Training and development and the opportunity to use excellent produce- Free Parking nearby, we are only 20 mins from CBD-Sponsorship available for the right candidate- Great Starting Salary  + Super+ Tips",https://www.seek.com.au/job/85992886?type=standard&ref=search-standalone#sol=b78ca2377107822378ec5285d0ab2b723351542d
Experienced Restaurant Manager + Super + Benefits,Ramona Trattoria,"Coorparoo, Brisbane QLD","$78,000 – $84,000 per year","About the role*Must have Restaurant Manager or Assistant Manager experience*Sponsorship is only available after 6 month probationary has been completed*CAN NOT OFFER SPONSORSHIP IF NOT  ALREADY IN THE COUNTRY*If you need to be sponsored to come into the country we do not offer thisRamona Trattoria' is seeking an experienced and passionate Restaurant Manager to join our award winning team in Coorparoo, Queensland. As our Restaurant Manager, you will be responsible for overseeing all aspects of our bustling restaurant operations, ensuring a seamless and exceptional dining experience for our customers. This is a full-time role offering a competitive salary, superannuation, and a range of other fantastic benefits.What you'll be doingManage and lead a team of restaurant staff, including servers, bartenders, and kitchen personnelOversee daily operations, including inventory management, staffing, and customer serviceImplement and enforce policies and procedures to maintain high standards of food quality, service, and cleanlinessLiaise with the kitchen team to ensure menu items are prepared to perfectionManage the restaurant's financial performance, including budgeting, cost control, and sales reportingFoster a positive and collaborative work environment, and provide mentorship and training to team membersIdentify and implement strategies to improve operational efficiency and customer satisfactionWhat we're looking forMinimum 3-5 years of experience as a Restaurant manager , Venue manager or Assistant manager roleStrong leadership and people management skills, with the ability to motivate and develop a teamExcellent customer service orientation and problem-solving abilitiesProficient in financial management, including budgeting, cost control, and sales analysisThorough understanding of food safety regulations and the ability to ensure complianceExceptional communication and interpersonal skillsPassion for the hospitality industry and a commitment to providing an exceptional dining experienceWine and Bar experience is a bonusWhat we offerAt Ramona Trattoria', we pride ourselves on our vibrant company culture and commitment to employee wellbeing. As our Restaurant Manager, you'll enjoy a competitive salary, superannuation, and a range of other fantastic benefits, including:Opportunities for career development and advancementFlexible working arrangements to support work-life balanceAccess to ongoing training and professional development programsComplimentary meals and discounts on our delicious menu itemsA fun, supportive, and inclusive work environmentSponsorship is available for the right candateAbout usRamona Trattoria' is a beloved 65 seater Italian restaurant in the heart of Coorparoo, Queensland, known for our authentic and delicious cuisineof hand shaped pasta and pizza , warm hospitality, and vibrant atmosphere. We are a family-owned business with a passion for sharing our love of Italian culture and cuisine with our local community. As we continue to grow and expand, we are looking for exceptional individuals to join our team and contribute to our success.Apply now to become our next Restaurant Manager and be a part of the Ramona Trattoria' family!",https://www.seek.com.au/job/86053911?type=promoted&ref=search-standalone#sol=5bd971a044b8c2ee1619fa625766d7a48c0fd449
Experienced Dog & Cat Groomers with Sponsorship Opportunities Available,Rufus & Coco Australia,Sydney NSW,"$60,000 – $73,200 per year","The Fur Salon by Rufus & Coco is seeking experienced pet groomers and to join our luxury salons in Mosman, Balgowlah and Queens Park.   We pride ourselves on style cuts and offer everything from a standard groom for dogs and cats, through to massages and facials, so that pet parents can pamper their furry friends as well as they would themselves (if not more!).We have full-time roles available for experienced groomers. You’ll provide pet grooming services, manage and sell a retail collection, and maintain our reputation for quality and service!Learn more about us at www.thefursalon.com.au and www.instagram.com/thefursalon.Why The Fur Salon?The Fur Salon is operated by Rufus & Coco, Australia’s most awarded pet care brandAttractive salary package above industry average plus weekly bonusesSponsorship Opportunities AvailableNew, state-of-the-art electric bath, tables and cutting equipmentServicing friendly clienteleGreat team cultureBeautiful working environmentA supportive team, including a master groomer, who will dedicate time to train you and help you perfect your grooming skillsYou will have:For Pet Groomers:At least 18 months experience providing grooming services within a dog or pet grooming salon or 6 months experience and has completed a grooming qualification. Cat grooming skills are valuedGood scissor technique and dog handling skills - able to handle a diverse range of dogs including various breeds, sizes and agesTake pride in maintaining a high standard of personal and salon presentationComputer proficient – use of word programsStrong customer service and selling skillsBe resourceful and happy to work independentlyA willingness to learnAre you the paw-fect fit?Hit “Apply” or email your resume tohello@thefursalon.com.auand please include photos of dogs you have groomed.All applicants must have the right to live and work in Australia.",https://www.seek.com.au/job/86034989?type=promoted&ref=search-standalone#sol=178dff6523c0fe10af3742e9d5aba451201c4c48
"Senior Dog Groomer – $80,000–$90,000 + Sponsorship Available",PawsAbout Pty Ltd,"Rose Bay, Sydney NSW","$80,000 – $90,000 per year","oin our passionate and growing team at PawsAbout!We’re on the lookout for a talented, experiencedSenior Dog Groomerwho truly cares about animal welfare and takes pride in delivering high-quality grooming services.🐶 What We’re Looking For:Minimum3 years of hands-on dog grooming experienceSkilled in breed-specific clips and confident with a wide range of coat typesGentle, patient, and animal-loving attitudeAble to work independently and as part of a collaborative, supportive teamStrong communication and customer service skills💼 What We Offer:Salary: $80,000–$90,000 per year, depending on experienceSponsorship availablefor the right candidate (must meet visa requirements)Full-time role,Monday to Friday only– enjoy your weekends off!Fun, inclusive team cultureBeautiful locations inSydney’s Eastern Suburbs(Coogee & Rose Bay)Supportive management that values your growth, work-life balance, and wellbeing✉️ How to Apply:Please send yourresume and photos of your grooming workto:📧info@pawsabout.com.au",https://www.seek.com.au/job/86281151?type=standard&ref=search-standalone#sol=daae8ca6e775d9e22f0866c9c9033e3e7a1a512b
Aluminum Polisher,Lorg Talent,Melbourne VIC,N/A,"Position Details:Location:Melbourne, Victoria (southeast region)Employment Type:Full-Time, PermanentVisa:482 Employer Sponsorship Available (if required)About the RoleWe are seeking an experiencedAluminium Polisherto join a leading Australian manufacturer based inMelbourne’s southeast. This is a full-time, permanent position working with heavy-duty aluminium components used in the transport industry.You’ll be responsible for delivering a high-quality finish on fabricated parts. The role offers long-term stability with strong team culture, safety standards, and support for eligible candidates requiring sponsorship.Key Responsibilities:Polishing aluminium components to a mirror finishRemoving welds, scratches, and imperfections using buffers, grinders, and abrasivesConducting visual inspections and quality checksMaintaining polishing tools and a clean, safe work areaCollaborating with fabrication and assembly teams to meet production targetsRole Requirements:At least 2 years of aluminium or metal polishing experienceConfident using polishing tools and abrasivesStrong attention to detail and pride in finish qualityPhysically fit and able to handle manual, repetitive workPositive, reliable attitudeDesirable (Not Essential)Trade qualification in metal finishing or surface preparationExperience in fabrication, component manufacturing, or automotive sectorsBenefits:Full-time, permanent employmentMonday to Thursday: 7:00 am – 3:30 pmFriday: 7:00 am – 1:00 pm482 employer sponsorship available if requiredLong-term, stable opportunity with a reputable Australian companyWork in Melbourne – one of the world’s most liveable citiesAbout Lorg TalentLorg Talent is an Australia-based recruitment company connecting skilled professionals with permanent roles across the country. We partner with trusted employers and support both local and international candidates through every step of the process.How to ApplyClick ‘Apply’ to submit your CV. Shortlisted candidates will be contacted to discuss the role, visa (if applicable), and next steps.",https://www.seek.com.au/job/86014721?type=standard&ref=search-standalone#sol=56c96701ca2f1a42aad3eced5460f34814164621
